Test,Section,Procédure,Résultat attendu,Effectué,Commentaires
Initialisation,Affichage,Envoie de commande et de caractère avant l'initialisation,Rien ne s'affiche,checked,
Affichage d'une chaîne de caractère,Affichage,"Envoie de la trame ""Borne de \nPaiement"" grâce à la fonction d'envoie",La trame est bien affichée,checked,
Mise en veille,Affichage,Mettre la pin correspondant à la led du rétro-éclairage à l'état bas,Affichage est en veille et consomme moins de courant,,
Sortie 5V,Alimentation,Alimenter l'alimentation de 9V à 15V et contrôle de l'oscillation résiduelle à l'oscilloscope à vide et avec une charge de 500mA (résistive),La sortie est stable à 5V,checked,<40mV @ 500Hz
Prise en charge du mode veille,Alimentation,Utiliser la fonction de mise en veille implémentée par MBED,Le MBED est en mode veille,,
Acquisition d'un caractère,Clavier,Appuyer sur une touche et décoder le caractère reçu par les GPIO,Le caractère est le bon,checked,
Tester la communication client vers pont,Communication ZigBee,Envoyer une trame simple du zigbee client (type routeur) vers le pont (type coordinateur),Réception de la trame sur le coordinateur,checked,
Tester la communication pont vers client,Communication ZigBee,Envoyer une trame de réponse du pont vers client lors d'une requête,Réception de la trame sur le client,checked,
Reconnaissance des pièces,Compteur d'argent ,Insertion des pièces devant être reconnues et décodage du signal reçu,Le montant reçu est celui inséré,checked,
Acquisition de la position,GPS,Décoder la trame reçue par la communication série,Latitude et longitude,checked,
Mise en veille,GPS,Mettre la pin de commande du transistor en haute impédance,GPS est en veille et consomme moins de courant,checked,
Reconnaissance de badge,NFC,Passer un badge à ~1cm du lecteur,ID de carte lues par le SPI,checked,
Mise en veille,NFC,Mettre la pin NRSTPD à '0',NFC en veille et ne consomme pas de courant,,
,NFC,,,,
Mise à jour des dépendances,Serveur,"À partir d'un terminal aller au dossier ""server/"" et effectuer les commandes suivantes:
npm-check-updates -u
npm install

Suives les instructions pour mettre à jour les dépendences",Un message expliquant que les dépendances sont tous à jour.,checked,
Security des dépendances,Serveur,"À partir d'un terminal aller au dossier ""server/"" et effectuer les commandes suivantes:
nsp check
snyk test
snyk wizard",Aucune faille de sécurité détectée,checked,
POST /api/accounts,Serveur,"POST
{
	""name"": ""toto"",
	""type"": ""MERCHANT""
}",Le serveur renvoie un JSON contenant les données du nouvelle utilisateur ou un JSON expliquant l'erreur rencontré lors de la création d'utilisateur.,checked,
POST /api/accounts/login,Serveur,"POST...
{
	""name"": ""toto"",
	""type"": ""MERCHANT""
}",Le serveur renvoie un JSON contenant les données de l'id de l'utilisateur ou un JSON expliquant l'erreur rencontré lors de la création d'utilisateur.,checked,
GET /api/accounts/:id,Serveur,GET  /api/accounts/:id,Le serveur renvoie un JSON contenant les données de l'utilisateur ou un JSON expliquant l'erreur rencontré lors de la création d'utilisateur.,checked,
GET /api/accounts,Serveur,GET /api/accounts,Le serveur revoie la liste de tous les utilisateurs.,checked,
POST /api/accounts/refill,Serveur,"POST
{
	""id"": ""b9c02b73-3c37-457e-8b42-38694f99d511"",
	""amount"": -1.0
}",Le serveur renvoie un JSON contenant l'id de l'utilisateur et son état de compte.,checked,
POST /api/items,Serveur,"POST 
{
	""merchant"": ""b9c02b73-3c37-457e-8b42-38694f99d511"",
	""name"": ""product1"",
	""shortcut"": 1,
	""description"": ""Super mega revolutionary code"",
	""price"": ""100000""
}",Le serveur renvoie un JSON contenant les données du nouvelle item ou un JSON expliquant l'erreur rencontré lors de la création de l'item.,checked,
GET /api/items/:id,Serveur,,Le serveur renvoie un JSON contenant les données de l'item ou un JSON expliquant l'erreur rencontré.,,
GET /api/items,Serveur,GET /api/items,Renvoie la list de tout les items.,checked,
POST /api/transactions,Serveur,"POST
{
	""client"": ""b9c02b73-3c37-457e-8b42-38694f99d511"",
	""merchant"": ""b9c02b73-3c37-457e-8b42-38694f99d511"",
	""items"": [""76720f0c-fd77-4f12-8788-d4406e04c6df"", ""76720f0c-fd77-4f12-8788-d4406e04c6df""],
	""quantities"": [1, 5]
}",,,
GET /api/accounts/transactions/:id,Serveur,,,,
Tester la communication zigbee vers serveur,TCP/IP,Envoyer une requête HTTP Post du pont vers le serveur,Réception de la trame sur le serveur,checked,
Tester la communication serveur vers zigbee,TCP/IP,"Lors de la réception d'un Post sur le serveur, répondre au pont avec une trame",Réception de la trame sur le pont,,"Problème avec le serveur Node, mais fonctionne avec python"
Tester la communication client vers serveur,TCP/IP,Envoie d'une trame par zigbee du client,Réception de la trame sur le serveur,checked,
Tester la communication serveur vers client,TCP/IP,Réponse du serveur lors d'un réception de trame du client,Réception de la trame sur le client,,Fonctionne avec python
Roulement de la MEF,Terminal Paiement,Faire rouler le squelette du code du terminal de paiement  ,Les bons états s'exécutent (confirmé par des printf),checked,
Identification du marchand,Terminal Paiement,"En démarrant le terminal, le marchand doit entrer son identifiant de 4 chiffres sur le clavier",Le terminal associe le bon compte ,,
Roulement de la MEF,Terminal Recharge,Faire rouler le squelette du code du terminal de recharge,Les bons états s'exécutent (confirmé par des printf),checked,
Lecture de la carte RFID,Terminal Recharge,Présenté une carte valide devant le lecture RFID,Le lecture détecte la carte et il associe le bon compte à la carte,checked,
Dépôt d'argent,Terminal Recharge,"Déposé des pièces de monnaie (0.05, 0.10, 0.25, 1 et 2) et voir si le monayeur détecte les bonnes pièces ",Le monyaeur détecte la bonne pièce déposée,checked,
Effectué une recharge,Terminal Recharge,Effectué une recharge dans un compte utilisateur. Avec lecture d'une carte et dépôt d'argent,Le solde de l'utilisateur est mis à jour suite au dépôt d'argent,checked,
