Test,Section,Procedure,ResultatAttendu,Effectue,Commentaires
Initialisation,Affichage,Envoie de commande et de caractère avant l'initialisation,Rien ne s'affiche,checked,
Affichage d'une chaîne de caractère,Affichage,"Envoie de la trame ""Borne de Paiement"" grâce à la fonction d'envoi",La trame est bien affichée,checked,
Mise en veille,Affichage,Mettre la pin correspondante à la DEL du rétro-éclairage à l'état bas,Affichage est en veille et consomme moins de courant,checked,
Sortie 5V,Alimentation,Alimenter l'alimentation de 9V à 15V et contrôle de l'oscillation résiduelle à l'oscilloscope à vide et avec une charge de 500mA (résistive),La sortie est stable à 5V,checked,<40mV @ 500Hz
Prise en charge du mode veille,Alimentation,Utiliser la fonction de mise en veille implémentée par MBED,Le MBED est en mode veille,checked,
Acquisition d'un caractère,Clavier,Appuyer sur une touche et décoder le caractère reçu par les GPIO,Le caractère est le bon,checked,
Tester la communication client vers pont,Communication ZigBee,Envoyer une trame simple du zigbee client (type routeur) vers le pont (type coordinateur),Réception de la trame sur le coordinateur,checked,
Tester la communication pont vers client,Communication ZigBee,Envoyer une trame de réponse du pont vers client lors d'une requête,Réception de la trame sur le client,checked,
Reconnaissance des pièces,Compteur d'argent ,Insertion des pièces devant être reconnues et décodage du signal reçu,Le montant reçu est celui inséré,checked,
Acquisition de la position,GPS,Décoder la trame reçue par la communication série,Latitude et longitude,checked,
Mise en veille,GPS,Mettre la pin de commande du transistor en haute impédance,GPS est en veille et consomme moins de courant,checked,
Reconnaissance de badge,NFC,Passer un badge à ~1cm du lecteur,ID de carte lues par le SPI,checked,
Mise en veille,NFC,Mettre la pin NRSTPD à '0',NFC en veille et ne consomme pas de courant,checked,
Mise à jour des dépendances,Serveur,"À partir d'un terminal aller au dossier ""server/"" et effectuer les commandes suivantes: npm-check-updates -u; npm install
",Un message expliquant que les dépendances sont tous à jour,checked,
Security des dépendances,Serveur,"À partir d'un terminal aller au dossier ""server/"" et effectuer les commandes suivantes: nsp check; snyk test; snyk wizard;",Aucune faille de sécurité détectée,checked,
Création d'un compte,Serveur,"POST /api/accounts {""name"": ""toto"", ""type"": ""MERCHANT""}",Le serveur retourne un JSON contenant les données du nouvelle utilisateur,checked,
Login,Serveur,"POST /api/accounts/login {""name"": ""toto"", ""type"": ""MERCHANT""}",Le serveur retourne le ID du compte,checked,
Information du compte,Serveur,GET  /api/accounts/:id,Le serveur retourne les informations du compte,checked,
Informations des comptes,Serveur,GET /api/accounts,Le serveur retourne la liste de tous les utilisateurs.,checked,
Ajout d'argent,Serveur,"POST /api/accounts/refill {""id"": ""..."", ""amount"": 1.0}","Le serveur retourne le statut de l'ajout 
",checked,
Ajout item,Serveur,"POST /api/items {""merchant"": ""..."", ""name"": ""product1"", ""shortcut"": 1, ""description"": ""Toto"", ""price"": ""100000""}",Le serveur retourne les informations du nouveau produit,checked,
Ajout transaction,Serveur,"POST /api/transactions {""client"": ""..."", ""merchant"": ""..."", ""lineItems"" : [{""itemId"": ""..."", ""quantity"": 1.0}]}",Le serveur retourne les informations de la transaction,checked,
Paiement par Zigbee,Serveur,"POST /api/zigbee/bridge {“id”: NBR, “method”: 1, “clientId”: 16 char, “merchantId”: NBR, “items”: [11, 12, 14], “qty”: [1, 5, 2]}
",Le serveur retourne le statut du paiement et le solde,checked,
Solde par Zigbee,Serveur,"POST /api/zigbee/bridge {“Id”: NBR, “method”: 2, “clientId”: 16 char}",Le serveur retourne le solde du compte,checked,
Ajout argent par Zigbee,Serveur,"POST /api/zigbee/bridge {“Id”: NDR, “method”: 3, “clientId”: 16 char, “Amount”: NBR}",Le serveur retourne le nouveau solde du compte,checked,
Total commande par Zigbee,Serveur,"POST /api/zigbee/bridge {“id”: NBR, “method”: 4, “merchantId”: NBR, “items”: [11], “qty”: [1]}",Le serveur retourne le total de la commande,checked,
Tester la communication zigbee vers serveur,TCP/IP,Envoyer une requête HTTP Post du pont vers le serveur,Réception de la trame sur le serveur,checked,
Tester la communication serveur vers zigbee,TCP/IP,"Lors de la réception d'un Post sur le serveur, répond au pont avec une trame",Réception de la trame sur le pont,checked,"Problème avec le serveur Node, mais fonctionne avec python"
Tester la communication client vers serveur,TCP/IP,Envoi d'une trame par zigbee du client,Réception de la trame sur le serveur,checked,
Tester la communication serveur vers client,TCP/IP,Réponse du serveur lors d'un réception de trame du client,Réception de la trame sur le client,checked,
Transmettre les erreurs du serveur vers les noeuds,TCP/IP,Envoyer une trame erronée d'un noeud,Réception d'une trame d'erreur sur le noeud,checked,
Roulement de la MEF,Terminal Paiement,Faire rouler le squelette du code du terminal de paiement  ,Les bons états s'exécutent (confirmé par des printf),checked,
Identification du marchand,Terminal Paiement,"En démarrant le terminal, le marchand doit entrer son identifiant de 4 chiffres sur le clavier",Le terminal associe le bon compte de marchand et une lumière verte s'allume,checked,
Ajout d'un article dans le panier,Terminal Paiement,Le marchand entre 1 article dans le panier,Le terminal affiche le prix de l'article vendu sur l'écran,checked,
Ajout de plus d'un article dans le panier (3),Terminal Paiement,Le marchand entre 3 articles différents dans le panier ,Le terminal affiche le prix total des articles à l'écran,checked,
Paiement d'un panier (avec assez d'argent dans le compte),Terminal Paiement,L'utilisateur présente sa carte RFID ,Le terminal effectue le paiement et affiche l'état du paiement à l'aide de DEL et à l'écran,checked,
Paiement d'un panier (avec solde insuffisant),Terminal Paiement,L'utilisateur présente sa carte RFID ,Le terminal n'effectue pas le paiement et affiche l'état du paiement à l'aide de DEL et à l'écran,checked,
Effectué une transaction complète,Terminal Paiement,"Le marchand entre son identifiant, il entre des articles dans le panier. Ensuite, l'utilisateur présente sa carte et effectue le paiement. (cas avec assez d'argent dans le compte)",La transaction s'effectue correctement dans la BD,checked,
Roulement de la MEF,Terminal Recharge,Faire rouler le squelette du code du terminal de recharge,Les bons états s'exécutent (confirmé par des printf),checked,
Lecture de la carte RFID,Terminal Recharge,Présenter une carte valide devant le lecture RFID,Le lecture détecte la carte et il associe le bon compte à la carte,checked,
Dépôt d'argent,Terminal Recharge,"Déposé des pièces de monnaie (0.05, 0.10, 0.25, 1 et 2) et voir si le monnayeur détecte les bonnes pièces ",Le monyaeur détecte la bonne pièce déposée,checked,
