Test,Section,Procedure,ResultatAttendu,Effectue,Commentaires
Initialisation,Affichage,Envoie de commande et de caractère avant l'initialisation,Rien ne s'affiche,checked,
Affichage d'une chaîne de caractère,Affichage,"Envoie de la trame ""Borne de Paiement"" grâce à la fonction d'envoie",La trame est bien affichée,checked,
Mise en veille,Affichage,Mettre la pin correspondant à la led du rétro-éclairage à l'état bas,Affichage est en veille et consomme moins de courant,,
Sortie 5V,Alimentation,Alimenter l'alimentation de 9V à 15V et contrôle de l'oscillation résiduelle à l'oscilloscope à vide et avec une charge de 500mA (résistive),La sortie est stable à 5V,checked,<40mV @ 500Hz
Prise en charge du mode veille,Alimentation,Utiliser la fonction de mise en veille implémentée par MBED,Le MBED est en mode veille,,
Acquisition d'un caractère,Clavier,Appuyer sur une touche et décoder le caractère reçu par les GPIO,Le caractère est le bon,checked,
Tester la communication client vers pont,Communication ZigBee,Envoyer une trame simple du zigbee client (type routeur) vers le pont (type coordinateur),Réception de la trame sur le coordinateur,checked,
Tester la communication pont vers client,Communication ZigBee,Envoyer une trame de réponse du pont vers client lors d'une requête,Réception de la trame sur le client,checked,
Reconnaissance des pièces,Compteur d'argent ,Insertion des pièces devant être reconnues et décodage du signal reçu,Le montant reçu est celui inséré,checked,
Acquisition de la position,GPS,Décoder la trame reçue par la communication série,Latitude et longitude,checked,
Mise en veille,GPS,Mettre la pin de commande du transistor en haute impédance,GPS est en veille et consomme moins de courant,checked,
Reconnaissance de badge,NFC,Passer un badge à ~1cm du lecteur,ID de carte lues par le SPI,checked,
Mise en veille,NFC,Mettre la pin NRSTPD à '0',NFC en veille et ne consomme pas de courant,checked,
Mise à jour des dépendances,Serveur,"À partir d'un terminal aller au dossier ""server/"" et effectuer les commandes suivantes:
npm-check-updates -u
npm install

Suives les instructions pour mettre à jour les dépendences",Un message expliquant que les dépendances sont tous à jour.,checked,
Security des dépendances,Serveur,"À partir d'un terminal aller au dossier ""server/"" et effectuer les commandes suivantes:
nsp check
snyk test
snyk wizard",Aucune faille de sécurité détectée,checked,
POST /api/accounts,Serveur,"POST
{
	""name"": ""toto"",
	""type"": ""MERCHANT""
}",Le serveur renvoie un JSON contenant les données du nouvelle utilisateur ou un JSON expliquant l'erreur rencontré lors de la création d'utilisateur.,checked,
POST /api/accounts/login,Serveur,"POST...
{
	""name"": ""toto"",
	""type"": ""MERCHANT""
}","{
 	""id"": ""38ab8242-57c3-4c80-9b28-86b94e1281a8"",
	“Type”: “CUSTOMER” // or MERCHANT
}",checked,
GET /api/accounts/:id,Serveur,GET  /api/accounts/:id,"{
	Id: UUID (128bit)
Name: varchar(256)
Type: varchar(128)
Amount: decimal(15,2)
Card: UUID
}
",checked,
GET /api/accounts,Serveur,"[
    {
        ""id"": ""b9c02b73-3c37-457e-8b42-38694f99d511"",
        ""name"": ""toto"",
        ""amount"": 0,
        ""type"": ""MERCHANT"",
        ""card"": null
    },
    {
        ""id"": ""8db4c614-3885-42a1-8365-fa463e1fbc5d"",
        ""name"": ""toto"",
        ""amount"": 0,
        ""type"": ""MERCHANT"",
        ""card"": null
    },
...
]",Le serveur revoie la liste de tous les utilisateurs.,checked,
POST /api/accounts/refill,Serveur,"POST
{
	""id"": ""b9c02b73-3c37-457e-8b42-38694f99d511"",
	""amount"": -1.0
}","{
	“Status”: False/True
	“Solde”: int
}
",checked,
POST /api/items,Serveur,"{
	""merchant"": ""b9c02b73-3c37-457e-8b42-38694f99d511"",
	""name"": ""product1"",
	""shortcut"": 1,
	""description"": ""Super mega revolutionary code"",
	""price"": ""100000""
}","{
    ""id"": ""275b5da6-c276-482d-95cf-b78ccb7196e1"",
    ""merchant"": ""b9c02b73-3c37-457e-8b42-38694f99d511"",
    ""shortcut"": 1,
    ""description"": ""Super mega revolutionary code"",
    ""price"": 100000,
    ""updatedAt"": ""2017-11-01T18:17:30.051Z"",
    ""createdAt"": ""2017-11-01T18:17:30.051Z"",
    ""name"": null
}",checked,
